Vessel Name,Voyage,Local Voyage,Service,ETA,ETD,Terminal,Cargo Volume,Expected Duration (hours),"Weather (0=dry,1=wet)"
SINAR SOLO,094KIS,1013W,GAF Central Vietnam service (CVS) (UIH1),1/10/2023 17:30,2/10/2023 17:30,PSA TERMINAL,515,24,0
SUMBER JAYA 22,W026FN,QB362,South East Asia Feeder 1 (SEASIA1),1/10/2023 18:25,1/10/2023 19:25,PSA TERMINAL,21,1,1
MTT SIBU,6011YN,J061S,South East Asia Feeder 2 (SEASIA2),1/10/2023 20:00,2/10/2023 10:00,PSA TERMINAL,296,14,0
CAPE FELTON,23S2XE,006W,South East Asia Feeder 9 (SEASIA9),1/10/2023 21:30,2/10/2023 15:30,PSA TERMINAL,320,18,0
CMA CGM MUSCA,0PPG4W1MA,0PPG4W1MA,Pacific East Coast 2 (PEX2),2/10/2023 0:00,3/10/2023 14:00,PSA TERMINAL,799,38,0
CAPRICORN 57,W086FN,MB063,South East Asia Feeder 1 (SEASIA1),2/10/2023 4:00,2/10/2023 5:00,PSA TERMINAL,22,1,1
MARCOPOLO 118,13S55R,323,Feeder of IDTTI to SGSIN (TTIAPL),2/10/2023 4:15,2/10/2023 6:15,PSA TERMINAL,39,2,0
GULF TBN 10,296DJW,,FAS Oman Container Fex Line (GULFFEX),2/10/2023 5:17,3/10/2023 1:17,PSA TERMINAL,421,20,0
EVER URANUS,530D7E,161E,PORT KELANG MUNDRA COLOMBO SERVICE (C3MAPL),2/10/2023 6:59,3/10/2023 6:59,PSA TERMINAL,500,24,0
MARCOPOLO 3022,5188AR,PS029,South East Asia Feeder 49 (SEASIA49),2/10/2023 10:30,3/10/2023 6:30,PSA TERMINAL,355,20,0
SEASPAN LUMACO,1078ER,338N,South East Asia Feeder 67 (SEASIA67),2/10/2023 13:00,3/10/2023 11:00,PSA TERMINAL,485,22,1
SINAR SIGLI,477C3N,013S,GAF Bangladesh Feeder BGDX3 (BGDFX3),2/10/2023 14:45,3/10/2023 16:45,PSA TERMINAL,528,26,1
SINAR SANUR,93356S,028N,Semarang Feeder Service (SRGAPL),2/10/2023 15:52,3/10/2023 15:52,PSA TERMINAL,507,24,0
CAPRICORN 59,W206FN,RB700,South East Asia Feeder 1 (SEASIA1),2/10/2023 15:35,2/10/2023 16:35,PSA TERMINAL,23,1,1
SELATAN DAMAI,C283DS,0031S,SGSIN MYPGU SGSIN Service (PGU1APL),2/10/2023 17:00,2/10/2023 18:00,PSA TERMINAL,19,1,1
INFINITI 5,U4T1YS,H3K01S,South East Asia Feeder 2 (SEASIA2),2/10/2023 19:00,2/10/2023 22:00,PSA TERMINAL,59,3,1
MMSS 2507,09S55R,25071N,Feeder of IDTTI to SGSIN (TTIAPL),2/10/2023 20:43,3/10/2023 21:43,PSA TERMINAL,488,25,0
MARCO POLO 108,5408AR,PS165,South East Asia Feeder 49 (SEASIA49),2/10/2023 22:00,3/10/2023 12:00,PSA TERMINAL,239,14,0
EVER FAR,0AAN1W1MA,1557-016W,Asia South America East Coast 1 (SEAS),3/10/2023 1:00,3/10/2023 17:00,PSA TERMINAL,300,16,0
CMA CGM ARKANSAS,0BDFME1MA,0BDFME1MA,Asia South America East Coast 2 (SEAS2),3/10/2023 1:00,3/10/2023 21:00,PSA TERMINAL,436,20,0
SINAR BANDUNG,417J6N,795S,MALAYSIA FEEDER 3 (MA3APL),3/10/2023 1:00,4/10/2023 1:00,PSA TERMINAL,514,24,1
GANTA BHUM,179W0S,031N,Thailand Indonesia Express (RCLAPL),3/10/2023 4:00,3/10/2023 14:00,PSA TERMINAL,193,10,1
SAWASDEE CHITTAGONG,C4TQ1R,,South Asia Feeder 1 (SASIA1),3/10/2023 5:00,3/10/2023 12:00,PSA TERMINAL,135,7,0
BATAMINDO V,C43J0S,83368S,Batamindo Feeder Service (BATAMAPL),3/10/2023 4:46,3/10/2023 20:45,PSA TERMINAL,305,15.98333333,0
MAERSK NACKA,G4S6CN,338S,South East Asia Feeder 31 (SEASIA31),3/10/2023 5:00,4/10/2023 4:00,PSA TERMINAL,550,23,0
SUMBER JAYA 2515,1033QR,S363N,South East Asia Feeder 58 (SEASIA58),3/10/2023 7:00,3/10/2023 14:00,PSA TERMINAL,156,7,1
SINAR BINTAN,483W7N,820S,MSX BKX3 Butterfly service (MSXAPL),3/10/2023 7:00,4/10/2023 5:00,PSA TERMINAL,458,22,0
CMA CGM TARPON,1QY7KN1MA,1QY7KN1NC,China South East Asia Loop 1 (CS1CNC),3/10/2023 8:00,4/10/2023 9:00,PSA TERMINAL,608,25,1
CELANDINE,I1S8JS,,South East Asia Feeder 51 (SEASIA51),3/10/2023 8:00,3/10/2023 14:00,PSA TERMINAL,117,6,0
KOTA LAGU,40SQ5E,338E,South Asia Feeder 5 (SASIA5),3/10/2023 10:00,3/10/2023 12:00,PSA TERMINAL,42,2,1
KOTA NAZIM,0CS5VE1MA,014W,South Philippines Express (SPXCNC),3/10/2023 12:00,4/10/2023 12:00,PSA TERMINAL,551,24,1
TS VANCOUVER,13SJ6N,23003S,MALAYSIA FEEDER 3 (MA3APL),3/10/2023 12:00,3/10/2023 14:00,PSA TERMINAL,42,2,0
NORFOLK,06LF1S1MA,107,KIX ANL (KIXANL),3/10/2023 13:30,4/10/2023 21:30,PSA TERMINAL,756,32,0
SUMBER JAYA 22,W106FN,QB363,South East Asia Feeder 1 (SEASIA1),3/10/2023 13:55,3/10/2023 14:55,PSA TERMINAL,19,1,0
KOTA DUNIA,2017ZE,0466E,South East Asia Feeder 70 (SEASIA70),3/10/2023 14:00,4/10/2023 15:00,PSA TERMINAL,535,25,0
BATAMINDO III,C45J0S,93367S,Batamindo Feeder Service (BATAMAPL),3/10/2023 14:55,3/10/2023 17:54,PSA TERMINAL,59,2.983333333,0
GOLDEN STAR 1,7233TN,6225S,South East Asia Feeder 13 (SEASIA13),3/10/2023 17:00,4/10/2023 9:00,PSA TERMINAL,384,16,1
MARCOPOLO 262,0932ZR,BS029,South East Asia Feeder 11 (SEASIA11),3/10/2023 17:00,4/10/2023 15:00,PSA TERMINAL,453,22,0
SAMUDRA BINTAN 88,W306FN,03K23P,South East Asia Feeder 1 (SEASIA1),3/10/2023 17:30,4/10/2023 8:30,PSA TERMINAL,321,15,1
XIN HUI ZHOU,0HM8DS1MA,178S,China Malaysia Service 2 (CMS2CNC),3/10/2023 20:00,4/10/2023 11:00,PSA TERMINAL,302,15,0
MARCOPOLO 148,5278AR,PS103,South East Asia Feeder 49 (SEASIA49),3/10/2023 22:00,4/10/2023 12:00,PSA TERMINAL,275,14,0
GSL ELIZABETH,545D7W,001W,PORT KELANG MUNDRA COLOMBO SERVICE (C3MAPL),3/10/2023 23:09,4/10/2023 22:09,PSA TERMINAL,481,23,0
MTT SIBU,C293DW,J062S,SGSIN MYPGU SGSIN Service (PGU1APL),4/10/2023 2:00,4/10/2023 20:00,PSA TERMINAL,418,18,1
WAN HAI 509,1QY7LS1MA,S130,China South East Asia Loop 1 (CS1CNC),4/10/2023 4:00,5/10/2023 4:00,PSA TERMINAL,474,24,0
PACIFIC SUN 1,X6T1YN,,South East Asia Feeder 2 (SEASIA2),4/10/2023 5:00,4/10/2023 7:00,PSA TERMINAL,38,2,0
WAN FU DA,4194YS,196S,Vietnam Singapore Feeder (VS2APL),4/10/2023 5:00,5/10/2023 9:00,PSA TERMINAL,557,28,0
AKA BHUM,0FB9ME1MA,016E,China India Express (CIX),4/10/2023 8:00,5/10/2023 4:00,PSA TERMINAL,407,20,0
MAERSK KWANGYANG,29SH4R,,SEA CHINA CHITTAGONG SERVICE (SO1APL),4/10/2023 8:00,5/10/2023 11:00,PSA TERMINAL,524,27,0
CAPRICORN 57,W166FN,MB063,South East Asia Feeder 1 (SEASIA1),4/10/2023 7:30,4/10/2023 8:30,PSA TERMINAL,21,1,0
MCP LINZ,3452VR,102E,South East Asia Feeder 8 (SEASIA8),4/10/2023 8:00,4/10/2023 12:00,PSA TERMINAL,84,4,1
TBN FEEDER 12,OQTZ4R,,AF Service (AFSRV),4/10/2023 8:00,4/10/2023 16:00,PSA TERMINAL,152,8,1
SINAR BUKITTINGI,3442VR,,South East Asia Feeder 8 (SEASIA8),4/10/2023 9:00,5/10/2023 10:00,PSA TERMINAL,478,25,0
